CHARACTERS ID,Baratheon,Greyjoy ,Lannister ,Stark ,Freefolk,Targaryen,Other,King ,Death,War 
ARYA,,,,1,,,,0,0,
BRAN,,,,1,,,,0,0,
BRIENNE,,,,,,,1,0,0,
BRONN,,,,,,,1,0,0,
CATELYN,,,,1,,,,0,1,
CERSEI,,,1,,,,,0,0,
DAENERYS,,,,,,1,,0,0,
DAVOS,,,,,,,1,0,0,
DROGO,,,,,,,1,0,1,
ELLARIA,,,,,,,1,0,0,
GENDRY,1,,,,,,,1,0,
GILLY,,,,,1,,,0,0,
GREY_WORM,,,,,1,,,0,0,
JAIME,,,1,,,,,0,0,
JEOR,,,,,,,1,0,1,
JOFFREY,1,,,,,,,1,1,
AEGON,,,,,,1,,1,0,
JORAH,,,,,,,1,0,0,
MARGAERY,,,,,,,1,0,0,
MARTYN,,,1,,,,,0,1,
MELISANDRE,,,,,,,1,0,0,
MISSANDEI,,,,,,,1,0,0,
NED,,,,1,,,,0,1,
NIGHT_KING,,,,,,,1,0,0,
PETYR,,,,,,,1,0,0,
RAMSAY,,,,,,,1,0,0,
ROBB,,,,1,,,,0,1,
ROBERT,1,,,,,,,1,1,
SAMWELL,,,,,,,1,0,0,
SANDOR,,,,,,,1,0,0,
SANSA,,,,1,,,,0,0,
SHAE,,,,,,,1,0,1,
STANNIS,1,,,,,,,1,1,0
THEON,,1,,,,,,0,0,
TOMMEN,1,,,,,,,1,0,
TORMUND,,,,,1,,,0,0,
TYRION,,,1,,,,,0,0,
TYWIN,,,1,,,,,0,1,
VARYS,,,,,,,1,0,0,
VISERYS,,,,,,1,,1,1,
WHITE_WALKER,,,,,,,1,0,0,
YGRITTE,,,,,1,,,0,1,
