CHARACTERS ID,Arryn,Baratheon,Greyjoy ,Lannister ,Stark ,Freefolk,Targaryen,Other,King ,Death,War 
ARYA,,,,,1,,,,0,,
BRAN,,,,,1,,,,0,,
BRIENNE,,,,,,,,1,0,,
BRONN,,,,,,,,1,0,,
CATELYN,,,,,1,,,,0,,
CERSEI,,,,1,,,,,1,,
DAENERYS,,,,,,,1,,1,,
DAVOS,,,,,,,,1,0,,
DROGO,,,,,,,,1,0,,
ELLARIA,,,,,,,,1,0,,
GENDRY,,1,,,,,,,0,,
GILLY,,,,,,1,,,0,,
GREY_WORM,,,,,,1,,,0,,
JAIME,,,,1,,,,,0,,
JEOR,,,,,,,,1,0,,
JOFFREY,,1,,,,,,,0,,
AEGON,,,,,,,1,,1,,
JORAH,,,,,,,,1,0,,
MARGAERY,,,,,,,,1,0,,
MARTYN,,,,1,,,,,0,,
MELISANDRE,,,,,,,,1,0,,
MISSANDEI,,,,,,,,1,0,,
NED,,,,,1,,,,0,,
NIGHT_KING,,,,,,,,1,1,,
PETYR,,,,,,,,1,0,,
RAMSAY,,,,,,,,1,0,,
ROBB,,,,,1,,,,0,,
ROBERT,,1,,,,,,,0,,
SAMWELL,,,,,,,,1,0,,
SANDOR,,,,,,,,1,0,,
SANSA,,,,,1,,,,0,,
SHAE,,,,,,,,1,0,,
STANNIS,,1,,,,,,,0,,
THEON,,,1,,,,,,0,,
TOMMEN,,1,,,,,,,0,,
TORMUND,,,,,,1,,,0,,
TYRION,,,,1,,,,,0,,
TYWIN,,,,1,,,,,0,,
VARYS,,,,,,,,1,0,,
VISERYS,,,,,,,1,,0,,
WHITE_WALKER,,,,,,,,1,0,,
YGRITTE,,,,,,1,,,0,,
